address,price,beds,baths,area,zpid,id,detailUrl,marketingStatusSimplifiedCd,builderName,isUndisclosedAddress,isZillowOwned,beds_missing,baths_missing,area_missing,lotArea_acres,latitude,longitude,builderName_encoded,price_per_sq_ft,price_range
"804 Taylor St NW APT 107, Washington, DC 20011",0.0906060606060606,1.0,1.0,0.045230769230769234,108413690,108413690,https://www.zillow.com/homedetails/804-Taylor-St-NW-APT-107-Washington-DC-20011/108413690_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.94071,-77.02377,91,508.5034013605442,Low
"1437 Spring Rd NW APT 11, Washington, DC 20010",0.13,2.0,1.0,0.053,71740960,71740960,https://www.zillow.com/homedetails/1437-Spring-Rd-NW-APT-11-Washington-DC-20010/71740960_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93768,-77.03463,91,622.6415094339623,Low
"432 Emerson St NW, Washington, DC 20011",0.3333330303030303,4.0,4.0,0.18,485568,485568,https://www.zillow.com/homedetails/432-Emerson-St-NW-Washington-DC-20011/485568_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.94979,-77.01882,91,470.08504273504275,High
"814 Orange Dr, Silver Spring, MD 20901",0.1908787878787879,5.0,3.0,0.17153846153846156,37277289,37277289,https://www.zillow.com/homedetails/814-Orange-Dr-Silver-Spring-MD-20901/37277289_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,39.02932,-77.02388,91,282.4663677130045,Medium
"533 Shepherd St NW, Washington, DC 20011",0.3863636363636364,6.0,7.0,0.2153076923076923,484832,484832,https://www.zillow.com/homedetails/533-Shepherd-St-NW-Washington-DC-20011/484832_zpid/,new_construction,,0,0,0,0,0,0.0,38.94008,-77.02032,91,455.5198285101822,High
"1354 Quincy St NW, Washington, DC 20011",0.31787878787878787,4.0,4.0,0.19230769230769232,472186,472186,https://www.zillow.com/homedetails/1354-Quincy-St-NW-Washington-DC-20011/472186_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93738,-77.03162,91,419.6,High
"1030 Fairmont St NW APT 104, Washington, DC 20001",0.18636363636363637,2.0,2.0,0.07692307692307693,63030152,63030152,https://www.zillow.com/homedetails/1030-Fairmont-St-NW-APT-104-Washington-DC-20001/63030152_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92462,-77.02663,91,615.0,Medium
"1910 Kalorama Rd NW APT 3, Washington, DC 20009",0.10151515151515152,1.0,1.0,0.033923076923076924,119083136,119083136,https://www.zillow.com/homedetails/1910-Kalorama-Rd-NW-APT-3-Washington-DC-20009/119083136_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.91914,-77.04553,91,759.6371882086167,Low
"4201 Cathedral Ave NW APT 212E, Washington, DC 20016",0.08181666666666668,1.0,1.0,0.049461538461538467,440469,440469,https://www.zillow.com/homedetails/4201-Cathedral-Ave-NW-APT-212E-Washington-DC-20016/440469_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93118,-77.0818,91,419.89891135303264,Low
"3035 15th St NW UNIT 403, Washington, DC 20009",0.18936363636363637,1.0,1.0,0.07307692307692308,247165218,247165218,https://www.zillow.com/homedetails/3035-15th-St-NW-UNIT-403-Washington-DC-20009/247165218_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92803,-77.03572,91,657.7894736842105,Medium
"2707 Adams Mill Rd NW APT 208, Washington, DC 20009",0.09996606060606061,1.0,1.0,0.038461538461538464,2105272204,2105272204,https://www.zillow.com/homedetails/2707-Adams-Mill-Rd-NW-APT-208-Washington-DC-20009/2105272204_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92446,-77.04444,91,659.776,Low
"419 Marietta Pl NW, Washington, DC 20011",0.22724242424242425,4.0,4.0,0.14461538461538462,486020,486020,https://www.zillow.com/homedetails/419-Marietta-Pl-NW-Washington-DC-20011/486020_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.95964,-77.01898,91,398.8829787234043,Medium
"4000 Cathedral Ave NW APT 124B, Washington, DC 20016",0.1,1.0,1.0,0.07076923076923076,2077563351,2077563351,https://www.zillow.com/homedetails/4000-Cathedral-Ave-NW-APT-124B-Washington-DC-20016/2077563351_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.927944,-77.079796,91,358.69565217391306,Low
"658 Farragut St NW, Washington, DC 20011",0.21966666666666668,2.0,3.0,0.15046153846153848,484293,484293,https://www.zillow.com/homedetails/658-Farragut-St-NW-Washington-DC-20011/484293_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.95082,-77.0218,91,370.60327198364007,Medium
"2910 Georgia Ave NW APT 104, Washington, DC 20001",0.16212121212121214,2.0,2.0,0.06215384615384616,114414364,114414364,https://www.zillow.com/homedetails/2910-Georgia-Ave-NW-APT-104-Washington-DC-20001/114414364_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92743,-77.02326,91,662.1287128712871,Medium
"1631 13th 2 Washington #2, Washington, DC 20009",0.42393939393939395,3.0,2.0,0.11853846153846154,350972517,350972517,https://www.zillow.com/homedetails/1631-13th-2-Washington-2-Washington-DC-20009/350972517_zpid/,new_construction,,0,0,0,0,0,0.0,38.919853,-77.03722,91,907.8520441271901,High
"2307 15th St NW APT 2, Washington, DC 20009",0.33333333333333337,2.0,2.0,0.13530769230769232,61618922,61618922,https://www.zillow.com/homedetails/2307-15th-St-NW-APT-2-Washington-DC-20009/61618922_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.91987,-77.03454,91,625.3553155201819,High
"2100 Washington Ave APT 3A, Silver Spring, MD 20910",0.08636363636363636,2.0,2.0,0.08146153846153846,37277513,37277513,https://www.zillow.com/homedetails/2100-Washington-Ave-APT-3A-Silver-Spring-MD-20910/37277513_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.99435,-77.04556,91,269.1218130311615,Low
"811 Upshur St NW UNIT 8, Washington, DC 20011",0.17875757575757578,2.0,2.0,0.07307692307692308,311111473,311111473,https://www.zillow.com/homedetails/811-Upshur-St-NW-UNIT-8-Washington-DC-20011/311111473_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.94213,-77.02391,91,620.9473684210526,Medium
"4023 New Hampshire Ave NW, Washington, DC 20011",0.3303030303030303,4.0,4.0,0.15876923076923077,484814,484814,https://www.zillow.com/homedetails/4023-New-Hampshire-Ave-NW-Washington-DC-20011/484814_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.94045,-77.0209,91,528.1007751937984,High
"1390 Kenyon St NW APT 321, Washington, DC 20010",0.16636363636363638,2.0,2.0,0.08546153846153846,82298930,82298930,https://www.zillow.com/homedetails/1390-Kenyon-St-NW-APT-321-Washington-DC-20010/82298930_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92963,-77.03221,91,494.1494149414942,Medium
"1744 Lanier Pl NW #3, Washington, DC 20009",0.34212121212121216,3.0,2.0,0.09038461538461538,350196298,350196298,https://www.zillow.com/homedetails/1744-Lanier-Pl-NW-3-Washington-DC-20009/350196298_zpid/,new_construction,,0,0,0,0,0,0.0,38.9246,-77.04152,91,960.8510638297872,High
"5522 13th St NW, Washington, DC 20011",0.3560606060606061,5.0,5.0,0.23076923076923078,471519,471519,https://www.zillow.com/homedetails/5522-13th-St-NW-Washington-DC-20011/471519_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.95697,-77.02998,91,391.6666666666667,High
"720 Morton St NW, Washington, DC 20010",0.25727272727272726,4.0,2.0,0.14038461538461539,474682,474682,https://www.zillow.com/homedetails/720-Morton-St-NW-Washington-DC-20010/474682_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.931973,-77.02427,91,465.2054794520548,Medium
"4000 Cathedral Ave NW APT 534B, Washington, DC 20016",0.08636363636363636,1.0,1.0,0.07692307692307693,2055510394,2055510394,https://www.zillow.com/homedetails/4000-Cathedral-Ave-NW-APT-534B-Washington-DC-20016/2055510394_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92833,-77.07979,91,285.0,Low
"929 Florida Ave NW APT 7001, Washington, DC 20001",0.13636363636363638,1.0,1.0,0.06769230769230769,88800309,88800309,https://www.zillow.com/homedetails/929-Florida-Ave-NW-APT-7001-Washington-DC-20001/88800309_zpid/,coming_soon,,0,0,0,0,0,0.0,38.91887,-77.02448,91,511.3636363636364,Low
"754 Lamont St NW UNIT 2, Washington, DC 20010",0.2043939393939394,2.0,3.0,0.09423076923076923,311112286,311112286,https://www.zillow.com/homedetails/754-Lamont-St-NW-UNIT-2-Washington-DC-20010/311112286_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93074,-77.02514,91,550.6122448979592,Medium
"9705 Glen Ave, Silver Spring, MD 20910",0.21181818181818182,4.0,3.0,0.13646153846153847,37279598,37279598,https://www.zillow.com/homedetails/9705-Glen-Ave-Silver-Spring-MD-20910/37279598_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,39.01504,-77.05394,91,394.0248027057497,Medium
"3051 Idaho Ave NW APT 305, Washington, DC 20016",0.06512121212121212,0.0,1.0,0.030846153846153846,446862,446862,https://www.zillow.com/homedetails/3051-Idaho-Ave-NW-APT-305-Washington-DC-20016/446862_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.93012,-77.07767,91,535.9102244389028,Low
"4841 Illinois Ave NW, Washington, DC 20011",0.31787878787878787,4.0,4.0,0.16676923076923078,35725564,35725564,https://www.zillow.com/homedetails/4841-Illinois-Ave-NW-Washington-DC-20011/35725564_zpid/,coming_soon,,0,0,0,0,0,0.0,38.94954,-77.02294,91,483.8560885608856,High
"2456 20th St NW APT 208, Washington, DC 20009",0.13,1.0,1.0,0.047615384615384615,462280,462280,https://www.zillow.com/homedetails/2456-20th-St-NW-APT-208-Washington-DC-20009/462280_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92224,-77.04741,91,693.0533117932149,Low
