city,state,zipcode,bedrooms,bathrooms,price,yearBuilt,lotSize,livingArea,daysOnZillow,monthlyHoaFee,latitude,longitude,homeType,streetAddress,zestimate,propertyTaxRate,bedrooms_missing,bathrooms_missing,yearBuilt_missing,livingArea_missing,price_per_sqft
Washington,DC,20009,2.0,2.0,729500,1911.0,9278.752391886721,1135.0,5,625.0,38.92175,-77.04657,CONDO,2415 20th St NW APT 27,734100.0,0.58,0,0,0,0,642.7312775330397
Washington,DC,20001,3.0,1.0,499000,1900.0,1552.0,1478.0,2,0.0,38.91187,-77.02073,TOWNHOUSE,1623 Marion St NW,,0.58,0,0,0,0,337.61840324763193
Takoma Park,MD,20912,3.0,2.0,698000,1941.0,6239.0,1620.0,5,0.0,38.97805,-76.99322,SINGLE_FAMILY,909 Larch Ave,612200.0,0.81,0,0,0,0,430.8641975308642
Chevy Chase,MD,20815,3.0,3.0,995000,1928.0,5620.0,1488.0,2,0.0,38.97735,-77.08918,SINGLE_FAMILY,4427 Bradley Ln,,0.81,0,0,0,0,668.6827956989247
Washington,DC,20009,2.0,2.0,519000,1947.0,9278.752391886721,846.0,56,849.0,38.91377,-77.04201,CONDO,1740 18th St NW APT T5,500500.0,0.58,0,0,0,0,613.4751773049645
Chevy Chase,MD,20815,5.0,4.0,1295000,1953.0,11467.0,4050.0,6,0.0,38.99021,-77.07182,SINGLE_FAMILY,3601 Dunlop St,1329800.0,0.81,0,0,0,0,319.75308641975306
Temple Hills,MD,20748,3.0,2.0,409875,1954.0,10860.0,1092.0,17,0.0,38.8295,-76.94114,SINGLE_FAMILY,4313 Townsley Ave,316200.0,1.07,0,0,0,0,375.3434065934066
Washington,DC,20002,2.0,2.0,297700,2021.0,9278.752391886721,903.0,15,632.0,38.91202,-77.00361,CONDO,1625 Eckington Pl NE APT 512,293400.0,0.58,0,0,0,0,329.67884828349946
Washington,DC,20009,2.0,1.0,114745,1966.0,9278.752391886721,965.0,41,576.0,38.92561,-77.03377,CONDO,1429 Girard St NW #101,105000.0,0.0,0,0,0,0,118.90673575129534
Alexandria,VA,22304,3.0,3.0,650000,2001.0,9278.752391886721,1471.0,13,545.0,38.80749,-77.11928,TOWNHOUSE,259 Cameron Station Blvd #526,645800.0,0.97,0,0,0,0,441.8762746430999
Mc Lean,VA,22101,8.0,7.0,18500000,1979.0,179075.0,9143.0,1,0.0,38.94052,-77.13317,SINGLE_FAMILY,1260 Crest Ln,17784600.0,0.98,0,0,0,0,2023.4058842830582
Bethesda,MD,20816,4.0,5.0,1349900,1948.0,8141.0,2856.0,1,0.0,38.961414,-77.1187,SINGLE_FAMILY,5810 Massachusetts Ave,1390000.0,0.81,0,0,0,0,472.65406162464984
Washington,DC,20007,8.0,10.0,11995000,2004.0,25811.0,13391.0,13,0.0,38.92542,-77.0933,SINGLE_FAMILY,4825 Dexter Ter NW,6809500.0,0.58,0,0,0,0,895.7508774550071
Falls Church,VA,22041,3.0,2.0,540000,1985.0,9278.752391886721,1380.0,6,650.0,38.8588,-77.14207,CONDO,3355 Lakeside View Dr #8-4,,0.98,0,0,0,0,391.30434782608694
Arlington,VA,22201,7.0,7.0,3200000,2015.0,7500.0,5802.0,5,0.0,38.8863,-77.08904,SINGLE_FAMILY,2513 11th St N,3178700.0,0.91,0,0,0,0,551.5339538090313
Arlington,VA,22206,2.0,1.0,424900,1950.0,9278.752391886721,875.0,20,380.0,38.84356,-77.09958,TOWNHOUSE,4633 28th Rd S APT C,,0.91,0,0,0,0,485.6
Clinton,MD,20735,4.0,2.0,409000,1963.0,12173.0,1920.0,1,0.0,38.78807,-76.89966,SINGLE_FAMILY,6211 Wolverton Ln,,1.07,0,0,0,0,213.02083333333334
Fort Washington,MD,20744,5.0,2.0,380000,1985.0,12600.0,2056.0,6,0.0,38.78097,-76.95719,SINGLE_FAMILY,7900 Jaywick Ave,424500.0,1.07,0,0,0,0,184.82490272373542
Capitol Heights,MD,20743,4.0,2.0,310000,1962.0,10115.0,1170.0,9,0.0,38.89414,-76.88833,SINGLE_FAMILY,206 Pepper Ct,307900.0,1.07,0,0,0,0,264.95726495726495
District Heights,MD,20747,4.0,3.0,300000,1959.0,11045.0,1150.0,2,0.0,38.83804,-76.90447,SINGLE_FAMILY,3708 Kingswood Dr,302300.0,1.07,0,0,0,0,260.8695652173913
Clinton,MD,20735,4.0,3.0,435000,1988.0,11249.0,1144.0,5,0.0,38.7811,-76.88161,SINGLE_FAMILY,7209 McMillen Dr,439700.0,1.07,0,0,0,0,380.24475524475525
Capitol Heights,MD,20743,3.0,3.0,235000,1991.0,9278.752391886721,1317.0,6,220.0,38.86531,-76.91043,TOWNHOUSE,5612 Larson Ct UNIT 20,234300.0,1.07,0,0,0,0,178.43583902809416
Washington,DC,20003,4.0,2.0,1099900,1900.0,2317.0,1850.0,20,0.0,38.88252,-76.99227,TOWNHOUSE,1007 E St SE,,0.58,0,0,0,0,594.5405405405405
Washington,DC,20020,3.0,1.0,100000,1940.0,9278.752391886721,816.0,1,529.0,38.86314,-76.97245,CONDO,2400 Good Hope Rd SE APT 3,,0.58,0,0,0,0,122.54901960784314
Arlington,VA,22204,2.0,1.0,725000,1958.0,6000.0,1242.0,4,0.0,38.86295,-77.12067,SINGLE_FAMILY,5400 4th St S,744300.0,0.91,0,0,0,0,583.7359098228663
Alexandria,VA,22314,1.0,1.0,310000,1974.0,9278.752391886721,843.0,0,450.0,38.808323,-77.07077,CONDO,132 Roberts Ln APT 102,314700.0,0.97,0,0,0,0,367.73428232502965
Suitland,MD,20746,3.0,3.0,300000,1983.0,1500.0,1172.0,26,60.0,38.83639,-76.90612,TOWNHOUSE,5855 Suitland Rd,,1.07,0,0,0,0,255.9726962457338
Arlington,VA,22207,5.0,5.0,1699000,1990.0,6587.0,3498.0,8,0.0,38.90167,-77.12421,SINGLE_FAMILY,4711 24th Rd N,1483300.0,0.91,0,0,0,0,485.70611778158946
Temple Hills,MD,20748,5.0,3.0,625000,1968.0,15788.0,1746.0,1,0.0,38.80586,-76.93515,SINGLE_FAMILY,5611 Temple Hill Rd,628200.0,1.07,0,0,0,0,357.9610538373425
Silver Spring,MD,20901,3.0,2.0,599000,1946.0,7000.0,1649.0,6,0.0,39.00466,-77.0116,SINGLE_FAMILY,9104 Providence Ave,595400.0,0.81,0,0,0,0,363.2504548211037
Silver Spring,MD,20901,4.0,3.0,599900,1948.0,5225.0,1703.0,5,0.0,39.0025,-76.9917,SINGLE_FAMILY,919 Langley Dr,607200.0,0.81,0,0,0,0,352.2607163828538
Silver Spring,MD,20901,3.0,3.0,739000,1939.0,9217.0,2332.0,0,0.0,39.00247,-77.00356,SINGLE_FAMILY,8907 Sudbury Rd,777500.0,0.81,0,0,0,0,316.89536878216126
Washington,DC,20007,2.0,2.0,698500,1981.0,9278.752391886721,983.0,181,1140.0,38.90411,-77.06342,CONDO,3225 Grace St NW APT 218,,0.58,0,0,0,0,710.5798575788402
Bethesda,MD,20817,4.0,3.0,1288888,1968.0,13790.0,2260.0,0,23.0,38.97842,-77.16904,SINGLE_FAMILY,2 Persimmon Ct,1339500.0,0.81,0,0,0,0,570.304424778761
Bethesda,MD,20817,4.0,3.0,895000,1962.0,8087.0,2461.0,2,0.0,39.01273,-77.13162,SINGLE_FAMILY,6423 Earlham Dr,1077000.0,0.81,0,0,0,0,363.6733035351483
Silver Spring,MD,20906,2.0,2.0,321000,1988.0,9278.752391886721,1184.0,3,650.0,39.07867,-77.06968,TOWNHOUSE,3457 Hewitt Ave #203,326300.0,0.81,0,0,0,0,271.11486486486484
Rockville,MD,20850,4.0,3.0,942000,1973.0,8625.0,2154.0,1,121.0,39.07561,-77.17898,SINGLE_FAMILY,1830 Greenplace Ter,961300.0,0.81,0,0,0,0,437.3259052924791
Potomac,MD,20854,5.0,3.0,879000,1965.0,9314.0,2340.0,5,0.0,39.0417,-77.17034,SINGLE_FAMILY,8317 Tuckerman Ln,926900.0,0.81,0,0,0,0,375.64102564102564
Bethesda,MD,20814,4.0,3.0,875000,1956.0,6750.0,2219.0,4,0.0,39.00613,-77.08937,SINGLE_FAMILY,9223 E Parkhill Dr,889900.0,0.81,0,0,0,0,394.3217665615142
Potomac,MD,20854,4.0,4.0,1100000,1997.0,4929.0,4186.0,4,135.0,39.0376,-77.16018,SINGLE_FAMILY,11105 Potomac Crest Dr,1327400.0,0.81,0,0,0,0,262.78069756330626
